Date,SnP500
1990-08-31,318.7099914550781
1990-09-04,322.55999755859375
1990-09-05,323.0899963378906
1990-09-06,324.3900146484375
1990-09-07,320.4599914550781
1990-09-10,323.4200134277344
1990-09-11,321.6300048828125
1990-09-12,321.0400085449219
1990-09-13,322.510009765625
1990-09-14,318.6499938964844
1990-09-17,316.8299865722656
1990-09-18,317.7699890136719
1990-09-19,318.6000061035156
1990-09-20,316.6000061035156
1990-09-21,311.5299987792969
1990-09-24,311.29998779296875
1990-09-25,305.4599914550781
1990-09-26,308.260009765625
1990-09-27,305.05999755859375
1990-09-28,300.9700012207031
1990-10-01,306.1000061035156
1990-10-02,314.94000244140625
1990-10-03,315.2099914550781
1990-10-04,311.3999938964844
1990-10-05,312.69000244140625
1990-10-08,311.5
1990-10-09,313.4599914550781
1990-10-10,305.0899963378906
1990-10-11,300.3900146484375
1990-10-12,295.45001220703125
1990-10-15,300.0299987792969
1990-10-16,303.2300109863281
1990-10-17,298.9200134277344
1990-10-18,298.75
1990-10-19,305.739990234375
1990-10-22,312.4800109863281
1990-10-23,314.760009765625
1990-10-24,312.3599853515625
1990-10-25,312.6000061035156
1990-10-26,310.1700134277344
1990-10-29,304.739990234375
1990-10-30,301.8800048828125
1990-10-31,304.05999755859375
1990-11-01,303.989990234375
1990-11-02,307.0199890136719
1990-11-05,311.8500061035156
1990-11-06,314.5899963378906
1990-11-07,311.6199951171875
